site_code,eqr,eqc
LTR1582_2020,0.64,Good
LTR1582_2023,,
LTR1583_2011,,
LTR1583_2014,0.71,High
LTR1583_2018,0.57,Good
LTR1583_2021,0.57,Good
LTR1584_2017,0.44,Moderate
LTR1584_2021,0.49,Moderate
LTR1585_2017,0.55,Moderate
LTR1585_2022,0.69,Good
LTR1586_2017,0.68,Good
LTR1586_2022,0.55,Moderate
LTR1587_2017,0.57,Moderate
LTR1587_2022,0.54,Moderate
LTR1588_2018,0.58,Moderate
LTR1589_2017,0.53,Moderate
LTR1589_2022,0.54,Moderate
LTR1590_2017,0.73,Good
LTR1591_2020,0.66,Good
LTR1592_2017,0.41,Moderate
LTR1592_2020,0.42,Moderate
LTR1593_2021,0.52,Moderate
LTR1594_2017,0.5,Moderate
LTR1594_2021,0.49,Moderate
LTR1595_2020,0.44,Moderate
LTR1596_2020,0.53,Moderate
LTR1597_2020,0.45,Moderate
LTR1598_2020,0.43,Moderate
LTR1599_2017,0.38,Moderate
LTR1599_2020,0.45,Moderate
LTR16_2010,,
LTR16_2015,0.66,Good
LTR16_2019,0.81,High
LTR1600_2017,0.62,Good
LTR1600_2020,0.55,Moderate
LTR1601_2017,0.47,Moderate
LTR1601_2021,0.23,Bad
LTR1602_2017,0.47,Moderate
LTR1602_2021,0.41,Moderate
LTR1603_2017,0.72,Good
LTR1603_2020,0.63,Good
LTR1604_2017,0.73,High
LTR1604_2020,0.63,Good
LTR1605_2017,0.61,Good
LTR1605_2020,0.54,Moderate
LTR1606_2017,0.62,Good
LTR1606_2020,0.51,Moderate
LTR1607_2018,0.45,Moderate
LTR1608_2018,0.84,High
LTR1609_2017,0.73,Good
LTR1609_2021,0.72,Good
LTR161_2010,,
LTR161_2011,,
LTR161_2013,0.7143,Good
LTR161_2014,0.61,Good
LTR161_2015,0.84,High
LTR161_2016,0.71,Good
LTR161_2017,0.94,High
LTR161_2020,0.56,Moderate
LTR1610_2022,0.81,High
LTR1611_2021,0.69,Good
LTR1612_2020,0.69,Good
LTR1613_2017,0.76,Good
LTR1613_2020,0.91,High
LTR1614_2020,0.61,Good
LTR1615_2020,0.65,Good
LTR1616_2017,0.7,Good
LTR1616_2020,0.39,Poor
LTR1617_2018,0.6,Good
LTR1617_2021,0.59,Moderate
LTR1618_2017,0.64,Good
LTR1619_2017,0.66,Good
LTR1619_2022,0.55,Moderate
LTR162_2010,,
LTR162_2014,0.54,Moderate
LTR162_2019,0.49,Moderate
LTR162_2022,0.75,Good
LTR1620_2017,0.53,Moderate
LTR1620_2022,0.47,Moderate
LTR1621_2017,0.76,Good
LTR1621_2020,0.33,Poor
LTR1622_2017,0.62,Good
LTR1622_2022,0.83,High
LTR1623_2017,0.57,Moderate
LTR1623_2020,0.75,Good
LTR1624_2016,0.66,Good
LTR1624_2017,0.68,Good
LTR1624_2021,0.64,Good
LTR1625_2017,0.58,Moderate
LTR1625_2021,0.57,Moderate
LTR1626_2017,0.53,Moderate
LTR1626_2020,0.58,Moderate
LTR1627_2017,0.57,Good
LTR1627_2020,0.56,Good
LTR1628_2017,0.82,High
LTR1628_2020,0.57,Moderate
LTR1628_2023,,
LTR1629_2017,0.67,Good
LTR1629_2022,0.69,Good
LTR163_2010,,
LTR163_2013,0.8571,High
LTR163_2016,0.88,High
LTR163_2019,0.68,Good
LTR163_2022,0.79,Good
LTR1630_2017,0.52,Moderate
LTR1630_2022,0.49,Moderate
LTR1631_2016,0.72,Good
LTR1631_2017,0.88,High
LTR1631_2022,0.53,Moderate
LTR1632_2017,0.72,High
LTR1632_2021,0.61,Good
LTR1633_2018,0.75,Good
LTR1634_2018,0.7,Good
LTR1635_2018,0.74,Good
LTR1636_2018,0.51,Moderate
LTR1637_2017,0.58,Moderate
LTR1637_2022,0.87,High
LTR1639_2018,0.63,Good
LTR164_2010,,
LTR164_2013,0.4286,Poor
LTR164_2015,0.73,High
LTR164_2018,0.82,High
LTR164_2021,0.65,Good
LTR1640_2018,0.64,Good
LTR1641_2017,0.57,Moderate
LTR1641_2022,0.56,Moderate
LTR1642_2017,0.6,Good
LTR1642_2022,0.68,Good
LTR1643_2018,0.56,Moderate
LTR1644_2020,0.43,Moderate
LTR1645_2017,0.5,Moderate
LTR1645_2021,0.46,Moderate
LTR1646_2020,0.62,Good
LTR1647_2018,0.48,Moderate
LTR1647_2021,0.76,Good
LTR1648_2017,0.82,High
LTR1648_2021,0.76,Good
LTR1649_2017,0.45,Moderate
LTR1649_2022,0.53,Moderate
LTR1650_2020,0.55,Good
LTR1651_2017,0.62,Good
LTR1651_2023,,
LTR1652_2016,0.46,Moderate
LTR1652_2021,0.51,Moderate
LTR1653_2018,0.69,Good
LTR1654_2017,0.64,Good
LTR1654_2022,0.81,High
LTR1655_2017,0.58,Moderate
LTR1655_2022,0.74,Good
LTR1656_2018,0.5,Moderate
LTR1657_2017,0.65,Good
LTR1657_2022,0.83,High
LTR1658_2017,0.68,Good
LTR1659_2017,0.59,Moderate
LTR1659_2022,0.63,Good
LTR1660_2017,0.52,Moderate
LTR1660_2022,0.6,Good
LTR1661_2017,0.52,Moderate
LTR1661_2022,0.62,Good
LTR1662_2017,0.53,Good
LTR1662_2020,0.42,Moderate
LTR1663_2017,0.47,Moderate
LTR1663_2021,0.53,Moderate
LTR1664_2017,0.45,Moderate
LTR1664_2021,0.33,Poor
LTR1665_2017,0.53,Moderate
LTR1665_2021,0.45,Moderate
LTR1666_2016,0.54,Moderate
LTR1666_2017,0.46,Moderate
LTR1666_2021,0.41,Moderate
LTR1667_2017,0.54,Moderate
LTR1667_2022,0.51,Moderate
LTR1668_2017,0.56,Moderate
LTR1668_2021,0.41,Moderate
LTR1669_2017,0.6,Good
LTR1669_2021,0.76,Good
LTR1670_2017,0.45,Moderate
LTR1670_2020,0.53,Moderate
LTR1671_2017,0.59,Moderate
LTR1671_2022,0.69,Good
LTR1672_2019,0.35,Poor
LTR1673_2021,0.59,Good
LTR1674_2017,0.44,Moderate
LTR1674_2022,0.57,Moderate
LTR1675_2020,0.66,Good
LTR1676_2017,0.4,Moderate
LTR1676_2020,0.49,Moderate
LTR1677_2020,0.72,Good
LTR1678_2020,0.74,Good
LTR1679_2020,0.59,Good
LTR1680_2017,0.65,Good
LTR1680_2022,0.65,Good
LTR1681_2016,0.66,Good
LTR1681_2017,0.7,Good
LTR1681_2021,0.53,Moderate
LTR1682_2017,0.59,Good
LTR1682_2021,0.53,Good
LTR1683_2017,0.73,Good
LTR1683_2022,0.42,Moderate
LTR1684_2017,0.49,Moderate
LTR1684_2022,0.49,Moderate
LTR1685_2017,0.64,Good
LTR1686_2017,0.7,Good
LTR1687_2016,0.59,Moderate
LTR1687_2017,0.54,Moderate
LTR1687_2022,0.7,Good
LTR1688_2017,0.48,Moderate
LTR1688_2022,0.39,Poor
LTR1689_2017,0.5,Good
LTR1689_2020,0.54,Good
LTR1690_2017,0.58,Moderate
LTR1690_2020,0.59,Moderate
LTR1691_2016,0.59,Moderate
LTR1691_2020,0.68,Good
LTR1691_2023,,
LTR1692_2017,0.41,Moderate
LTR1692_2020,0.32,Poor
LTR172_2017,0.4,Moderate
LTR172_2020,0.53,Moderate
LTR175_2010,,
LTR175_2011,,
LTR175_2013,0.8571,High
LTR175_2014,0.9,High
LTR175_2015,0.86,High
LTR175_2016,0.72,Good
LTR175_2017,0.75,Good
LTR175_2020,0.9,High
LTR176_2012,,
LTR176_2016,0.83,High
LTR176_2021,0.78,Good
LTR18_2012,,
LTR18_2016,0.76,Good
LTR18_2019,0.72,Good
LTR186_2020,0.93,High
LTR190_2010,,
LTR190_2014,0.87,High
LTR190_2021,0.74,Good
LTR192_2010,,
LTR192_2011,,
LTR192_2013,0.8571,High
LTR192_2014,0.92,High
LTR192_2015,0.99,High
LTR192_2016,0.85,High
LTR192_2017,0.69,Good
LTR192_2020,0.49,Moderate
LTR193_2015,0.74,High
LTR193_2019,0.57,Good
LTR193_2022,0.67,Good
LTR197_2012,,
LTR197_2015,0.66,Good
LTR197_2018,0.52,Moderate
LTR197_2021,0.67,Good
LTR198_2015,0.82,High
LTR198_2019,0.45,Moderate
LTR198_2022,0.69,Good
LTR199_2012,,
LTR20_2014,0.53,Moderate
LTR20_2015,0.27,Poor
LTR20_2017,0.37,Moderate
LTR20_2020,0.47,Moderate
LTR204_2010,,
LTR204_2013,0.5714,Moderate
LTR204_2015,0.64,Good
LTR204_2021,0.73,Good
LTR217_2013,0.8571,High
LTR217_2015,0.69,Good
LTR217_2019,0.5,Moderate
LTR218_2013,0.5714,Moderate
LTR218_2015,0.67,Good
LTR218_2022,0.65,Good
LTR219_2022,0.74,Good
LTR23_2010,,
LTR23_2015,0.75,Good
LTR23_2018,0.65,Good
LTR230_2016,0.52,Moderate
LTR230_2020,0.54,Moderate
LTR231_2010,,
LTR231_2011,,
LTR231_2013,0.8571,High
LTR231_2014,0.76,Good
LTR231_2015,0.41,Moderate
LTR231_2016,0.68,Good
LTR231_2017,0.56,Moderate
LTR231_2020,0.64,Good
LTR232_2010,,
LTR232_2013,0.7143,Good
LTR232_2015,0.82,High
LTR232_2019,0.65,Good
LTR232_2022,0.59,Moderate
LTR234_2011,,
LTR234_2014,0.73,Good
LTR234_2018,0.62,Good
LTR234_2021,0.63,Good
LTR236_2011,,
LTR236_2014,0.55,Moderate
LTR236_2019,0.46,Moderate
LTR236_2022,0.66,Good
LTR239_2017,0.73,Good
LTR239_2022,0.6,Good
LTR245_2010,,
LTR245_2011,,
LTR245_2013,0.7143,Good
LTR245_2014,0.7,Good
LTR245_2015,0.6,Good
LTR245_2016,0.54,Moderate
LTR245_2017,0.46,Moderate
LTR245_2020,0.46,Moderate
LTR247_2010,,
LTR247_2016,0.72,Good
LTR247_2020,0.58,Moderate
LTR247_2023,,
LTR248_2010,,
LTR248_2013,0.5714,Moderate
LTR248_2016,0.53,Moderate
LTR248_2020,0.64,Good
LTR26_2010,,
LTR26_2011,,
LTR26_2012,,
LTR26_2013,0.8571,High
LTR26_2014,0.73,High
LTR26_2015,0.79,High
LTR26_2016,1,High
LTR26_2017,0.68,Good
LTR26_2020,0.77,High
LTR260_2010,,
LTR260_2013,0.5714,Moderate
LTR260_2015,0.71,Good
LTR265_2010,,
LTR265_2011,,
LTR265_2012,,
LTR265_2013,0.8571,High
LTR265_2014,0.54,Moderate
LTR265_2015,0.66,Good
LTR265_2016,0.73,Good
LTR266_2014,0.37,Poor
LTR266_2015,0.43,Moderate
LTR267_2012,,
LTR267_2015,0.28,Poor
LTR267_2018,0.42,Moderate
LTR267_2021,0.3,Poor
LTR268_2010,,
LTR268_2011,,
LTR268_2012,,
LTR268_2013,0.5714,Moderate
LTR268_2014,0.56,Moderate
LTR268_2015,0.63,Good
LTR268_2016,0.57,Good
LTR268_2017,0.55,Good
LTR268_2020,0.69,Good
LTR27_2011,,
LTR27_2014,0.8,High
LTR27_2020,0.72,Good
LTR271_2012,,
LTR271_2015,0.64,Good
LTR271_2019,0.64,Good
LTR277_2010,,
LTR277_2012,,
LTR277_2016,0.38,Poor
LTR277_2019,0.56,Moderate
LTR281_2010,,
LTR281_2015,0.61,Good
LTR281_2019,0.57,Moderate
LTR282_2016,0.49,Moderate
LTR282_2017,0.62,Good
LTR282_2022,0.61,Good
LTR283_2011,,
LTR283_2014,0.62,Good
LTR283_2020,0.73,Good
LTR284_2012,,
LTR284_2015,0.51,Moderate
LTR284_2018,0.59,Moderate
LTR284_2021,0.68,Good
LTR290_2010,,
LTR290_2015,0.51,Moderate
LTR290_2018,0.48,Moderate
LTR294_2011,,
LTR294_2014,0.57,Moderate
LTR294_2018,0.59,Moderate
LTR294_2021,0.54,Moderate
LTR297_2012,,
LTR297_2015,0.36,Poor
LTR297_2018,0.39,Poor
LTR297_2021,0.5,Moderate
LTR30_2010,,
LTR30_2013,0.7143,High
LTR30_2016,0.79,High
LTR301_2017,0.43,Moderate
LTR301_2022,0.36,Poor
LTR305_2010,,
LTR305_2015,0.35,Poor
LTR308_2011,,
LTR308_2014,0.25,Bad
LTR308_2018,0.36,Poor
LTR308_2021,0.31,Poor
LTR310_2012,,
LTR310_2014,0.41,Moderate
LTR310_2017,0.29,Poor
LTR310_2021,0.47,Moderate
LTR318_2012,,
LTR318_2016,0.67,Good
LTR318_2019,0.65,Good
LTR325_2010,,
LTR325_2011,,
LTR325_2012,,
LTR325_2013,0.5714,Moderate
LTR325_2014,0.77,Good
LTR325_2015,0.69,Good
LTR325_2016,0.58,Moderate
LTR325_2017,0.58,Moderate
LTR325_2020,0.77,Good
LTR325_2023,,
LTR327_2010,,
LTR327_2011,,
LTR327_2012,,
LTR327_2013,0.5714,Moderate
LTR327_2014,0.71,Good
LTR327_2015,0.66,Good
LTR327_2016,0.7,Good
LTR327_2017,0.81,High
LTR327_2020,0.69,Good
LTR33_2010,,
LTR33_2011,,
LTR33_2013,0.7143,Good
LTR33_2014,0.67,Good
LTR33_2015,0.73,Good
LTR33_2016,0.67,Good
LTR33_2017,0.86,High
LTR33_2020,0.56,Moderate
LTR331_2017,0.77,Good
LTR331_2022,0.67,Good
LTR334_2010,,
LTR334_2013,0.8571,High
LTR334_2015,0.63,Good
LTR334_2018,0.54,Good
LTR334_2021,0.56,Good
LTR336_2010,,
LTR336_2013,0.8571,High
LTR336_2016,0.67,Good
LTR336_2019,0.87,High
LTR336_2023,,
LTR337_2010,,
LTR337_2013,0.8571,High
LTR337_2016,0.78,Good
LTR337_2019,0.57,Moderate
LTR337_2022,0.74,Good
LTR351_2012,,
LTR351_2015,0.59,Moderate
LTR351_2019,0.54,Moderate
LTR351_2022,0.71,Good
LTR352_2017,0.55,Good
LTR352_2020,0.51,Good
LTR352_2023,,
LTR354_2012,,
LTR354_2015,0.54,Moderate
LTR354_2018,0.42,Moderate
LTR354_2021,0.58,Moderate
LTR357_2010,,
LTR357_2011,,
LTR357_2012,,
LTR357_2013,0.8571,High
LTR357_2014,0.62,Good
LTR357_2015,0.6,Good
LTR357_2016,0.76,Good
LTR357_2017,0.51,Moderate
LTR357_2020,0.68,Good
LTR360_2012,,
LTR360_2016,0.6,Good
LTR360_2019,0.6,Good
LTR360_2022,0.68,Good
LTR365_2012,,
LTR365_2015,0.66,Good
LTR365_2018,0.57,Good
LTR365_2021,0.63,Good
LTR369_2013,0.7143,Good
LTR369_2015,0.68,Good
LTR369_2019,0.61,Good
LTR369_2022,0.62,Good
LTR370_2010,,
LTR370_2013,0.5714,Moderate
LTR370_2016,0.55,Good
LTR370_2019,0.68,Good
LTR370_2022,0.56,Good
LTR371_2011,,
LTR371_2014,0.65,Good
LTR371_2020,0.8,High
LTR373_2012,,
LTR373_2015,0.55,Good
LTR373_2018,0.56,Good
LTR373_2021,0.57,Good
LTR375_2012,,
LTR375_2015,0.77,Good
LTR375_2018,0.67,Good
LTR375_2021,0.51,Moderate
LTR376_2012,,
LTR376_2015,0.57,Good
LTR376_2018,0.58,Good
LTR376_2021,0.57,Good
LTR377_2010,,
LTR377_2013,0.8571,High
LTR377_2015,0.63,Good
LTR377_2018,0.55,Moderate
LTR377_2021,0.57,Moderate
LTR378_2012,,
LTR378_2015,0.64,Good
LTR378_2018,0.42,Moderate
LTR378_2021,0.56,Moderate
LTR379_2012,,
LTR379_2016,0.51,Good
LTR379_2019,0.56,Good
LTR379_2022,0.64,Good
LTR380_2010,,
LTR380_2013,0.4286,Poor
LTR380_2015,0.6,Good
LTR380_2018,0.39,Poor
LTR380_2021,0.5,Moderate
LTR385_2012,,
LTR385_2015,0.88,High
LTR385_2016,0.77,Good
LTR385_2017,0.51,Moderate
LTR385_2020,0.7,Good
LTR386_2010,,
LTR386_2013,0.8571,High
LTR386_2016,0.69,Good
LTR386_2019,0.66,Good
LTR386_2022,0.74,Good
LTR387_2010,,
LTR387_2011,,
LTR387_2012,,
LTR387_2013,0.5714,Moderate
LTR387_2014,0.62,Good
LTR387_2015,0.57,Moderate
LTR387_2016,0.51,Moderate
LTR387_2017,0.57,Moderate
LTR387_2020,0.61,Good
LTR389_2012,,
LTR389_2016,0.62,Good
LTR389_2019,0.45,Moderate
LTR389_2022,0.47,Moderate
LTR393_2010,,
LTR393_2013,0.8571,High
LTR393_2016,0.58,Moderate
LTR393_2019,0.61,Good
LTR393_2022,0.51,Moderate
LTR394_2013,1,High
LTR394_2016,0.58,Good
LTR394_2019,0.62,Good
LTR394_2022,0.49,Moderate
LTR395_2013,0.7143,Good
LTR395_2016,0.48,Moderate
LTR395_2019,0.45,Moderate
LTR395_2022,0.5,Moderate
LTR397_2012,,
LTR397_2015,0.83,High
LTR397_2018,0.64,Good
LTR397_2021,0.58,Good
LTR398_2012,,
LTR398_2016,0.65,Good
LTR398_2019,0.58,Good
LTR398_2022,0.5,Moderate
LTR40_2010,,
LTR40_2011,,
LTR40_2013,0.5714,Moderate
LTR40_2014,0.51,Moderate
LTR40_2015,0.45,Moderate
LTR40_2016,0.57,Moderate
LTR40_2017,0.51,Moderate
LTR40_2020,0.48,Moderate
LTR401_2010,,
LTR401_2011,,
LTR401_2012,,
LTR401_2013,0.4286,Poor
LTR401_2014,0.57,Moderate
LTR401_2015,0.58,Moderate
LTR401_2016,0.83,High
LTR401_2017,0.48,Moderate
LTR401_2020,0.5,Moderate
LTR402_2011,,
LTR402_2014,0.76,Good
LTR402_2018,0.61,Good
LTR402_2021,0.55,Moderate
LTR403_2017,0.77,Good
LTR403_2020,0.77,Good
LTR41_2010,,
LTR41_2011,,
LTR41_2013,0.7143,Good
LTR41_2014,1,High
LTR41_2015,0.86,High
LTR41_2016,0.62,Good
LTR41_2017,0.46,Moderate
LTR41_2020,0.6,Good
LTR411_2010,,
LTR411_2013,0.7143,Good
LTR411_2015,0.57,Moderate
LTR411_2019,0.77,Good
LTR411_2022,0.75,Good
LTR416_2010,,
LTR416_2013,0.4286,Poor
LTR416_2016,0.32,Poor
LTR416_2019,0.68,Good
LTR418_2010,,
LTR418_2013,0.7143,Good
LTR418_2016,0.66,Good
LTR418_2020,0.66,Good
LTR42_2012,,
LTR42_2015,0.76,High
LTR42_2018,0.58,Good
LTR42_2021,0.55,Good
LTR426_2016,0.45,Moderate
LTR426_2017,0.47,Moderate
LTR426_2021,0.52,Moderate
LTR428_2011,,
LTR428_2014,0.48,Moderate
LTR428_2018,0.8,High
LTR428_2022,0.48,Moderate
LTR43_2010,,
LTR43_2011,,
LTR43_2012,,
LTR43_2013,0.5714,Moderate
LTR43_2014,0.49,Moderate
LTR43_2015,0.57,Moderate
LTR43_2016,0.71,Good
LTR43_2017,0.59,Moderate
LTR43_2020,0.38,Poor
LTR430_2010,,
LTR430_2012,,
LTR430_2013,0.8571,High
LTR430_2014,0.79,Good
LTR430_2015,0.71,Good
LTR430_2019,0.7,Good
LTR431_2010,,
LTR431_2012,,
LTR431_2013,0.8571,High
LTR431_2014,0.49,Moderate
LTR431_2016,0.3,Moderate
LTR431_2017,0.66,Good
LTR431_2020,0.56,Good
LTR432_2010,,
LTR432_2012,,
LTR432_2013,0.5714,Moderate
LTR432_2014,0.64,Good
LTR432_2015,0.73,Good
LTR432_2019,0.68,Good
LTR433_2022,0.69,Good
LTR438_2012,,
LTR438_2019,0.41,Moderate
LTR439_2010,,
LTR439_2015,0.58,Good
LTR439_2021,0.45,Moderate
LTR448_2012,,
LTR448_2021,0.48,Moderate
LTR449_2013,0.8571,High
LTR449_2019,0.55,Moderate
LTR450_2010,,
LTR450_2012,,
LTR450_2013,0.5714,Moderate
LTR450_2014,0.53,Moderate
LTR450_2015,0.38,Poor
LTR450_2016,0.52,Moderate
LTR450_2017,0.52,Moderate
LTR450_2020,0.38,Poor
LTR451_2012,,
LTR451_2022,0.65,Good
LTR452_2013,0.7143,Good
LTR452_2020,0.45,Moderate
LTR458_2010,,
LTR458_2015,0.76,High
LTR458_2019,0.75,High
LTR459_2012,,
LTR459_2015,0.7,Good
LTR459_2019,0.54,Moderate
LTR460_2012,,
LTR460_2020,0.52,Good
LTR462_2012,,
LTR462_2020,0.45,Moderate
LTR463_2022,0.8,High
LTR464_2013,0.8571,High
LTR464_2016,0.66,Good
LTR464_2021,0.49,Moderate
LTR466_2017,0.56,Moderate
LTR466_2021,0.45,Moderate
LTR467_2022,0.5,Moderate
LTR468_2010,,
LTR468_2015,0.95,High
LTR468_2022,0.48,Moderate
LTR469_2014,0.66,Good
LTR469_2022,0.89,High
LTR472_2021,0.4,Moderate
LTR475_2010,,
LTR475_2015,0.88,High
LTR475_2020,0.51,Good
LTR480_2014,0.53,Moderate
LTR480_2020,0.4,Moderate
LTR484_2022,0.6,Good
LTR486_2015,0.72,Good
LTR486_2022,0.6,Good
LTR490_2012,,
LTR490_2016,0.54,Moderate
LTR490_2019,0.45,Moderate
LTR491_2017,0.53,Moderate
LTR491_2022,0.39,Poor
LTR495_2012,,
LTR495_2015,0.71,High
LTR495_2018,0.34,Moderate
LTR495_2021,0.59,Good
LTR498_2016,0.37,Moderate
LTR498_2019,0.39,Moderate
LTR499_2012,,
LTR499_2021,0.45,Moderate
LTR50_2010,,
LTR50_2011,,
LTR50_2013,0.4286,Poor
LTR50_2014,0.56,Moderate
LTR50_2015,0.47,Moderate
LTR50_2016,0.37,Poor
LTR50_2017,0.58,Moderate
LTR50_2020,0.4,Moderate
LTR500_2013,0.7143,Good
LTR500_2020,0.53,Moderate
LTR501_2021,0.37,Moderate
LTR503_2013,0.8571,High
LTR503_2020,0.51,Moderate
LTR505_2010,,
LTR505_2014,0.74,Good
LTR505_2020,0.85,High
LTR512_2018,0.77,Good
LTR520_2018,0.6,Good
LTR521_2010,,
LTR521_2013,0.7143,Good
LTR521_2016,0.66,Good
LTR521_2022,0.62,Good
LTR525_2010,,
LTR525_2013,0.5714,Good
LTR525_2016,0.63,Good
LTR525_2021,0.63,Good
LTR526_2011,,
LTR526_2014,0.62,Good
LTR547_2010,,
LTR547_2013,0.5714,Moderate
LTR547_2016,0.56,Moderate
LTR547_2019,0.56,Moderate
LTR547_2022,0.75,Good
LTR548_2010,,
LTR548_2013,0.8571,High
LTR548_2015,0.78,Good
LTR548_2019,0.66,Good
LTR551_2011,,
LTR551_2016,0.6,Good
LTR551_2021,0.6,Good
LTR556_2010,,
LTR556_2013,0.5714,Moderate
LTR556_2016,0.61,Good
LTR556_2019,0.53,Good
LTR56_2013,0.8571,High
LTR56_2015,0.89,High
LTR560_2010,,
LTR560_2014,0.78,High
LTR560_2019,0.77,Good
LTR560_2022,0.66,Good
LTR566_2015,0.52,Moderate
LTR566_2022,0.84,High
LTR569_2016,0.61,Good
LTR569_2019,0.69,Good
LTR57_2011,,
LTR57_2014,0.83,High
LTR57_2020,0.4,Moderate
LTR570_2011,,
LTR570_2014,0.57,Moderate
LTR570_2018,0.36,Moderate
LTR570_2021,0.66,Good
LTR576_2011,,
LTR576_2014,0.57,Good
LTR576_2020,0.61,Good
LTR577_2017,0.53,Moderate
LTR577_2022,0.48,Moderate
LTR581_2015,0.59,Moderate
LTR581_2019,0.34,Poor
LTR582_2010,,
LTR582_2013,0.5714,Moderate
LTR582_2015,0.57,Moderate
LTR582_2018,0.55,Moderate
LTR584_2018,0.63,Good
LTR584_2021,0.85,High
LTR586_2010,,
LTR586_2013,0.5714,Moderate
LTR586_2015,0.7,Good
LTR586_2019,0.5,Moderate
LTR587_2011,,
LTR587_2016,0.75,Good
LTR587_2020,0.6,Good
LTR588_2020,0.62,Good
LTR589_2019,0.51,Moderate
LTR591_2010,,
LTR591_2013,0.5714,Moderate
LTR591_2015,0.75,Good
LTR591_2018,0.53,Moderate
LTR591_2021,0.71,Good
LTR592_2011,,
LTR592_2014,0.57,Moderate
LTR592_2018,0.54,Good
LTR592_2021,0.39,Moderate
LTR596_2010,,
LTR596_2013,0.4286,Poor
LTR596_2016,0.51,Good
LTR596_2019,0.48,Moderate
LTR596_2022,0.42,Moderate
LTR603_2010,,
LTR603_2013,0.4286,Poor
LTR603_2016,0.55,Moderate
LTR603_2019,0.69,Good
LTR609_2011,,
LTR609_2014,0.43,Moderate
LTR609_2019,0.38,Moderate
LTR609_2022,0.49,Moderate
LTR610_2016,0.76,Good
LTR610_2019,0.46,Moderate
LTR611_2010,,
LTR611_2016,0.68,Good
LTR611_2021,0.78,Good
LTR612_2010,,
LTR612_2011,,
LTR612_2012,,
LTR612_2013,0.5714,Good
LTR612_2014,0.3,Moderate
LTR612_2015,0.31,Moderate
LTR612_2016,0.5,Good
LTR612_2017,0.35,Moderate
LTR612_2020,0.48,Moderate
LTR62_2010,,
LTR62_2011,,
LTR62_2013,0.5714,Moderate
LTR62_2014,0.71,Good
LTR62_2015,0.68,Good
LTR62_2016,0.8,High
LTR62_2017,1,High
LTR62_2020,0.52,Moderate
LTR623_2017,0.47,Moderate
LTR623_2022,0.53,Moderate
LTR625_2010,,
LTR625_2015,0.4,Moderate
LTR625_2019,0.69,Good
LTR625_2022,0.83,High
LTR627_2010,,
LTR627_2015,0.29,Bad
LTR637_2016,0.71,Good
LTR637_2019,0.6,Good
LTR65_2010,,
LTR65_2011,,
LTR65_2013,0.8571,High
LTR65_2014,0.83,High
LTR65_2015,0.91,High
LTR65_2016,0.77,Good
LTR65_2017,0.58,Moderate
LTR65_2020,0.78,Good
LTR66_2017,0.8,High
LTR66_2020,0.7,Good
LTR66_2023,,
LTR664_2011,,
LTR664_2014,0.74,High
LTR664_2018,0.57,Good
LTR664_2021,0.56,Good
LTR670_2011,,
LTR670_2014,0.63,Good
LTR670_2020,0.68,Good
LTR689_2010,,
LTR689_2013,1,High
LTR689_2016,0.49,Moderate
LTR689_2020,0.62,Good
LTR696_2011,,
LTR696_2014,0.39,Moderate
LTR699_2012,,
LTR699_2018,0.47,Moderate
LTR70_2010,,
LTR70_2011,,
LTR70_2012,,
LTR70_2013,0.5714,Moderate
LTR70_2014,0.79,Good
LTR70_2015,0.62,Good
LTR70_2016,0.53,Moderate
LTR70_2017,0.67,Good
LTR70_2020,0.63,Good
LTR702_2012,,
LTR702_2016,0.4,Moderate
LTR702_2019,0.54,Good
LTR702_2022,0.48,Moderate
LTR703_2017,0.66,Good
LTR703_2022,0.59,Moderate
LTR706_2010,,
LTR706_2013,0.7143,Good
LTR706_2015,0.39,Poor
